,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122569356,10586424,23.763,1564.92,1.68,2573.82,1.69,966.63,1.7,1.71,439.29,1.72,668.29,1.73,1527.77,,,,,0.5847953216374269,0.5882352941176471,0.9906764653736673,1.006661684323066
1,1.122569356,9342040,23.763,1606.73,3.45,1065.29,3.5,1176.15,3.55,3.6,385.1,3.65,596.43,3.7,568.21,,,,,0.2777777777777778,0.28169014084507044,0.9906764653736673,1.006661684323066
2,1.122569356,10500771,23.763,403.24,11.0,135.65,11.5,454.91,12.0,12.5,57.21,13.0,99.67,13.5,63.62,,,,,0.08,0.08333333333333333,0.9906764653736673,1.006661684323066
3,1.122569356,9857326,23.763,51.63,34.0,73.57,36.0,61.55,38.0,40.0,14.95,42.0,135.1,44.0,48.25,,,,,0.025,0.02631578947368421,0.9906764653736673,1.006661684323066
4,1.122569356,9150589,23.763,112.31,48.0,127.56,50.0,18.21,55.0,60.0,26.95,65.0,27.03,70.0,25.57,,,,,0.016666666666666666,0.01818181818181818,0.9906764653736673,1.006661684323066
5,1.122569356,9644271,23.763,10.19,250.0,4.77,260.0,11.85,280.0,300.0,8.9,310.0,11.59,320.0,1.34,,,,,0.0033333333333333335,0.0035714285714285713,0.9906764653736673,1.006661684323066
6,1.122569356,10547981,23.763,2.1,510.0,0.05,540.0,1.11,570.0,590.0,0.03,640.0,0.04,650.0,0.07,,,,,0.001694915254237288,0.0017543859649122807,0.9906764653736673,1.006661684323066
7,1.122569356,10612424,23.763,8.84,900.0,4.86,910.0,0.54,920.0,,,,,,,,,,,,0.0010869565217391304,0.9906764653736673,1.006661684323066
8,1.122569356,10586419,23.763,1.13,650.0,3.33,660.0,1.44,670.0,710.0,2.54,770.0,1.74,790.0,1.74,,,,,0.0014084507042253522,0.0014925373134328358,0.9906764653736673,1.006661684323066
9,1.122569356,10562718,23.763,0.6,920.0,2.0,990.0,33.26,1000.0,,,,,,,,,,,,0.001,0.9906764653736673,1.006661684323066
10,1.122569356,10586424,23.452,2577.82,1.69,502.32,1.7,27.19,1.71,1.72,766.64,1.73,1407.77,1.74,1341.64,1.7,900.6399999999994,1.71,798.1200000000026,0.5813953488372093,0.5847953216374269,0.9872764925734497,1.0030985591334862
11,1.122569356,9342040,23.452,1606.73,3.45,1065.29,3.5,1172.66,3.55,3.6,376.1,3.65,596.43,3.7,568.21,3.55,22.0,3.6,18.0,0.2777777777777778,0.28169014084507044,0.9872764925734497,1.0030985591334862
12,1.122569356,10500771,23.452,403.24,11.0,142.65,11.5,454.91,12.0,12.5,17.98,13.0,99.67,13.5,63.62,12.5,74.36000000000013,12.5,74.36000000000013,0.08,0.08333333333333333,0.9872764925734497,1.0030985591334862
13,1.122569356,9857326,23.452,51.63,34.0,73.57,36.0,78.37,38.0,40.0,42.15,42.0,135.1,44.0,48.25,40.0,19.169999999999845,40.0,19.169999999999845,0.025,0.02631578947368421,0.9872764925734497,1.0030985591334862
14,1.122569356,9150589,23.452,112.31,48.0,127.56,50.0,18.21,55.0,60.0,26.95,65.0,27.03,70.0,25.57,,,,,0.016666666666666666,0.01818181818181818,0.9872764925734497,1.0030985591334862
15,1.122569356,9644271,23.452,4.77,260.0,11.78,280.0,4.22,290.0,300.0,10.9,310.0,11.59,320.0,1.34,,,,,0.0033333333333333335,0.0034482758620689655,0.9872764925734497,1.0030985591334862
16,1.122569356,10547981,23.452,2.0,520.0,0.05,540.0,1.11,570.0,590.0,0.03,640.0,0.04,650.0,0.07,,,,,0.001694915254237288,0.0017543859649122807,0.9872764925734497,1.0030985591334862
17,1.122569356,10612424,23.452,8.84,900.0,4.86,910.0,1.09,920.0,,,,,,,,,,,,0.0010869565217391304,0.9872764925734497,1.0030985591334862
18,1.122569356,10586419,23.452,1.13,650.0,3.33,660.0,1.44,670.0,710.0,2.54,770.0,1.74,790.0,1.74,,,,,0.0014084507042253522,0.0014925373134328358,0.9872764925734497,1.0030985591334862
19,1.122569356,10562718,23.452,0.6,920.0,2.0,990.0,33.26,1000.0,,,,,,,,,,,,0.001,0.9872764925734497,1.0030985591334862
20,1.122569356,10586424,22.447,1564.92,1.68,2577.82,1.69,734.34,1.7,1.71,188.36,1.72,624.96,1.73,1409.77,1.7,249.0,1.72,535.3799999999974,0.5847953216374269,0.5882352941176471,0.9906965860980134,1.0065385316137063
21,1.122569356,9342040,22.447,1606.73,3.45,1066.79,3.5,1179.81,3.55,3.6,375.95,3.65,596.43,3.7,568.21,3.55,50.700000000004366,3.55,50.700000000004366,0.2777777777777778,0.28169014084507044,0.9906965860980134,1.0065385316137063
22,1.122569356,10500771,22.447,403.24,11.0,142.65,11.5,451.91,12.0,12.5,100.3,13.0,99.67,13.5,58.62,12.0,10.0,12.5,1.3899999999998727,0.08,0.08333333333333333,0.9906965860980134,1.0065385316137063
23,1.122569356,9857326,22.447,46.63,34.0,73.57,36.0,95.72,38.0,40.0,47.09,42.0,135.1,44.0,48.25,,,,,0.025,0.02631578947368421,0.9906965860980134,1.0065385316137063
24,1.122569356,9150589,22.447,112.31,48.0,127.56,50.0,18.21,55.0,60.0,26.95,65.0,27.03,70.0,25.57,,,,,0.016666666666666666,0.01818181818181818,0.9906965860980134,1.0065385316137063
25,1.122569356,9644271,22.447,2.77,260.0,9.34,280.0,3.29,290.0,300.0,10.9,310.0,11.59,320.0,1.34,290.0,5.990000000000009,290.0,5.990000000000009,0.0033333333333333335,0.0034482758620689655,0.9906965860980134,1.0065385316137063
26,1.122569356,10547981,22.447,2.0,530.0,0.05,540.0,1.11,570.0,590.0,0.03,640.0,0.04,650.0,0.07,,,,,0.001694915254237288,0.0017543859649122807,0.9906965860980134,1.0065385316137063
27,1.122569356,10612424,22.447,8.84,900.0,4.86,910.0,1.09,920.0,,,,,,,,,,,,0.0010869565217391304,0.9906965860980134,1.0065385316137063
28,1.122569356,10586419,22.447,1.13,650.0,3.33,660.0,1.44,670.0,700.0,4.83,710.0,2.22,740.0,3.33,,,,,0.0014285714285714286,0.0014925373134328358,0.9906965860980134,1.0065385316137063
29,1.122569356,10562718,22.447,0.6,920.0,2.0,990.0,31.61,1000.0,,,,,,,1000.0,4.0,1000.0,4.0,,0.001,0.9906965860980134,1.0065385316137063
30,1.122569356,10586424,21.442,2575.82,1.69,932.34,1.7,826.08,1.71,1.72,450.15,1.73,1407.77,1.74,1344.25,1.71,428.9599999999991,1.71,428.9599999999991,0.5813953488372093,0.5847953216374269,0.9874115558265315,1.003221711842846
31,1.122569356,9342040,21.442,1554.44,3.45,1064.79,3.5,1181.32,3.55,3.6,363.43,3.65,594.43,3.7,566.21,3.55,8.0,3.6,25.049999999999272,0.2777777777777778,0.28169014084507044,0.9874115558265315,1.003221711842846
32,1.122569356,10500771,21.442,401.24,11.0,140.65,11.5,449.66,12.0,12.5,100.3,13.0,97.67,13.5,56.62,12.0,18.0,12.0,18.0,0.08,0.08333333333333333,0.9874115558265315,1.003221711842846
33,1.122569356,9857326,21.442,46.63,34.0,73.57,36.0,103.05,38.0,40.0,55.76,42.0,140.1,44.0,48.25,,,,,0.025,0.02631578947368421,0.9874115558265315,1.003221711842846
34,1.122569356,9150589,21.442,112.31,48.0,127.56,50.0,18.21,55.0,60.0,26.95,65.0,27.03,70.0,25.57,,,,,0.016666666666666666,0.01818181818181818,0.9874115558265315,1.003221711842846
35,1.122569356,9644271,21.442,10.19,250.0,2.77,260.0,9.34,280.0,290.0,0.26,300.0,10.9,310.0,5.59,290.0,11.47999999999999,290.0,11.47999999999999,0.0034482758620689655,0.0035714285714285713,0.9874115558265315,1.003221711842846
36,1.122569356,10547981,21.442,0.14,510.0,2.05,540.0,1.11,570.0,590.0,0.03,640.0,0.04,650.0,0.07,,,,,0.001694915254237288,0.0017543859649122807,0.9874115558265315,1.003221711842846
37,1.122569356,10612424,21.442,8.84,900.0,4.86,910.0,1.09,920.0,,,,,,,,,,,,0.0010869565217391304,0.9874115558265315,1.003221711842846
38,1.122569356,10586419,21.442,1.13,650.0,3.33,660.0,1.44,670.0,700.0,4.83,710.0,2.22,740.0,3.33,,,,,0.0014285714285714286,0.0014925373134328358,0.9874115558265315,1.003221711842846
39,1.122569356,10562718,21.442,0.6,920.0,2.0,990.0,31.61,1000.0,,,,,,,,,,,,0.001,0.9874115558265315,1.003221711842846
40,1.122569356,10586424,20.436,1566.92,1.68,2635.86,1.69,751.77,1.7,1.71,3.58,1.72,308.89,1.73,1407.77,1.7,617.1000000000022,1.71,1456.810000000005,0.5847953216374269,0.5882352941176471,0.9906965860980134,1.0067591502100055
41,1.122569356,9342040,20.436,1554.44,3.45,1064.79,3.5,965.22,3.55,3.6,155.27,3.65,594.43,3.7,566.21,3.55,219.65999999999622,3.6,416.33000000000175,0.2777777777777778,0.28169014084507044,0.9906965860980134,1.0067591502100055
42,1.122569356,10500771,20.436,401.24,11.0,153.35,11.5,298.9,12.0,12.5,5.07,13.0,97.67,13.5,56.62,12.0,208.88000000000056,12.5,260.99000000000024,0.08,0.08333333333333333,0.9906965860980134,1.0067591502100055
43,1.122569356,9857326,20.436,46.63,34.0,73.57,36.0,77.19,38.0,40.0,57.76,42.0,140.1,44.0,51.25,38.0,31.8599999999999,38.0,31.8599999999999,0.025,0.02631578947368421,0.9906965860980134,1.0067591502100055
44,1.122569356,9150589,20.436,112.31,48.0,127.56,50.0,2.04,55.0,60.0,26.95,65.0,27.03,70.0,25.57,55.0,18.610000000000014,55.0,18.610000000000014,0.016666666666666666,0.01818181818181818,0.9906965860980134,1.0067591502100055
45,1.122569356,9644271,20.436,10.19,250.0,2.77,260.0,5.09,280.0,300.0,3.39,310.0,5.59,320.0,1.34,280.0,6.689999999999998,290.0,1.3800000000000239,0.0033333333333333335,0.0035714285714285713,0.9906965860980134,1.0067591502100055
46,1.122569356,10547981,20.436,0.14,510.0,2.1,530.0,1.26,540.0,590.0,0.03,640.0,0.04,650.0,0.07,570.0,1.1100000000000003,570.0,1.1100000000000003,0.001694915254237288,0.001851851851851852,0.9906965860980134,1.0067591502100055
47,1.122569356,10612424,20.436,8.84,900.0,4.86,910.0,0.27,920.0,,,,,,,,,,,,0.0010869565217391304,0.9906965860980134,1.0067591502100055
48,1.122569356,10586419,20.436,6.94,640.0,1.13,650.0,0.32,670.0,700.0,4.83,710.0,2.22,740.0,3.33,,,,,0.0014285714285714286,0.0014925373134328358,0.9906965860980134,1.0067591502100055
49,1.122569356,10562718,20.436,0.6,920.0,2.0,990.0,30.86,1000.0,,,,,,,,,,,,0.001,0.9906965860980134,1.0067591502100055
50,1.122569356,10586424,19.431,1568.92,1.68,2637.86,1.69,707.36,1.7,1.71,296.67,1.72,464.14,1.73,1388.77,1.7,62.0,1.71,397.91999999999825,0.5847953216374269,0.5882352941176471,0.9876196630210904,1.003425816876672
51,1.122569356,9342040,19.431,1556.44,3.45,1066.79,3.5,949.22,3.55,3.6,232.34,3.65,596.43,3.7,568.21,3.55,40.0,3.6,5.06000000000131,0.2777777777777778,0.28169014084507044,0.9876196630210904,1.003425816876672
52,1.122569356,10500771,19.431,249.16,11.5,121.19,12.0,2.93,12.5,13.0,99.67,13.5,58.62,14.0,85.79,12.0,23.0,12.5,14.139999999999873,0.07692307692307693,0.08,0.9876196630210904,1.003425816876672
53,1.122569356,9857326,19.431,46.63,34.0,73.57,36.0,69.22,38.0,40.0,95.12,42.0,140.1,44.0,51.25,38.0,15.930000000000064,38.0,15.930000000000064,0.025,0.02631578947368421,0.9876196630210904,1.003425816876672
54,1.122569356,9150589,19.431,112.31,48.0,127.56,50.0,7.25,55.0,60.0,33.4,65.0,27.03,70.0,25.57,55.0,18.659999999999968,55.0,18.659999999999968,0.016666666666666666,0.01818181818181818,0.9876196630210904,1.003425816876672
55,1.122569356,9644271,19.431,10.19,250.0,2.77,260.0,5.09,280.0,300.0,19.99,310.0,5.59,320.0,1.34,,,,,0.0033333333333333335,0.0035714285714285713,0.9876196630210904,1.003425816876672
56,1.122569356,10547981,19.431,0.14,510.0,2.1,530.0,1.26,540.0,590.0,0.03,640.0,0.04,650.0,0.07,,,,,0.001694915254237288,0.001851851851851852,0.9876196630210904,1.003425816876672
57,1.122569356,10612424,19.431,8.84,900.0,4.86,910.0,0.27,920.0,,,,,,,,,,,,0.0010869565217391304,0.9876196630210904,1.003425816876672
58,1.122569356,10586419,19.431,6.94,640.0,1.13,650.0,0.32,670.0,700.0,0.92,710.0,2.22,740.0,3.33,700.0,7.82,700.0,7.82,0.0014285714285714286,0.0014925373134328358,0.9876196630210904,1.003425816876672
59,1.122569356,10562718,19.431,0.6,920.0,2.0,990.0,30.86,1000.0,,,,,,,,,,,,0.001,0.9876196630210904,1.003425816876672
60,1.122569356,10586424,18.426,1506.78,1.67,1568.92,1.68,2581.82,1.69,1.7,209.33,1.71,601.95,1.72,588.14,1.7,1770.9599999999991,1.71,97.40999999999622,0.5882352941176471,0.591715976331361,0.9938909186863152,1.0102517770008812
61,1.122569356,9342040,18.426,1533.44,3.45,1066.79,3.5,899.22,3.55,3.6,197.34,3.65,596.43,3.7,566.21,3.55,100.0,3.6,70.0,0.2777777777777778,0.28169014084507044,0.9938909186863152,1.0102517770008812
62,1.122569356,10500771,18.426,403.24,11.0,325.35,11.5,99.55,12.0,12.5,60.32,13.0,82.67,13.5,58.62,12.5,104.5,12.5,104.5,0.08,0.08333333333333333,0.9938909186863152,1.0102517770008812
63,1.122569356,9857326,18.426,46.63,34.0,73.57,36.0,66.22,38.0,40.0,95.11,42.0,140.1,44.0,51.25,38.0,6.0,38.0,6.0,0.025,0.02631578947368421,0.9938909186863152,1.0102517770008812
64,1.122569356,9150589,18.426,112.31,48.0,127.56,50.0,7.25,55.0,60.0,33.97,65.0,27.03,70.0,25.57,,,,,0.016666666666666666,0.01818181818181818,0.9938909186863152,1.0102517770008812
65,1.122569356,9644271,18.426,10.19,250.0,2.77,260.0,5.09,280.0,300.0,18.95,310.0,5.59,320.0,1.34,300.0,2.079999999999984,300.0,2.079999999999984,0.0033333333333333335,0.0035714285714285713,0.9938909186863152,1.0102517770008812
66,1.122569356,10547981,18.426,0.14,510.0,2.1,530.0,1.26,540.0,690.0,0.51,700.0,2.0,780.0,0.02,690.0,1.98,690.0,1.98,0.0014492753623188406,0.001851851851851852,0.9938909186863152,1.0102517770008812
67,1.122569356,10612424,18.426,0.56,890.0,8.84,900.0,2.7,910.0,,,,,,,910.0,4.33,910.0,4.33,,0.001098901098901099,0.9938909186863152,1.0102517770008812
68,1.122569356,10586419,18.426,6.94,640.0,1.13,650.0,0.32,670.0,700.0,0.92,710.0,2.22,740.0,3.33,,,,,0.0014285714285714286,0.0014925373134328358,0.9938909186863152,1.0102517770008812
69,1.122569356,10562718,18.426,0.6,920.0,2.0,990.0,30.86,1000.0,,,,,,,,,,,,0.001,0.9938909186863152,1.0102517770008812
70,1.122569356,10586424,17.422,1620.78,1.67,1568.92,1.68,1411.16,1.69,1.7,994.07,1.71,1080.11,1.72,688.14,1.7,927.489999999998,1.71,120.9800000000032,0.5882352941176471,0.591715976331361,0.9901290055993773,1.0062001529734323
71,1.122569356,9342040,17.422,1141.76,3.5,868.78,3.55,339.36,3.6,3.65,487.93,3.7,566.21,3.75,436.61,3.55,1.0999999999985448,3.6,501.90999999999985,0.273972602739726,0.2777777777777778,0.9901290055993773,1.0062001529734323
72,1.122569356,10500771,17.422,403.24,11.0,228.59,11.5,87.5,12.0,12.5,177.4,13.0,124.11,13.5,58.62,12.0,24.099999999999454,12.5,36.0300000000002,0.08,0.08333333333333333,0.9901290055993773,1.0062001529734323
73,1.122569356,9857326,17.422,46.63,34.0,73.57,36.0,66.22,38.0,40.0,95.11,42.0,140.1,44.0,51.25,,,,,0.025,0.02631578947368421,0.9901290055993773,1.0062001529734323
74,1.122569356,9150589,17.422,112.31,48.0,127.56,50.0,14.76,55.0,60.0,33.97,65.0,27.03,70.0,25.57,,,,,0.016666666666666666,0.01818181818181818,0.9901290055993773,1.0062001529734323
75,1.122569356,9644271,17.422,10.19,250.0,2.77,260.0,5.08,280.0,300.0,18.95,310.0,3.5,320.0,1.34,,,,,0.0033333333333333335,0.0035714285714285713,0.9901290055993773,1.0062001529734323
76,1.122569356,10547981,17.422,2.1,530.0,1.39,540.0,0.07,600.0,670.0,2.44,690.0,0.51,700.0,2.0,,,,,0.0014925373134328358,0.0016666666666666668,0.9901290055993773,1.0062001529734323
77,1.122569356,10612424,17.422,0.56,890.0,8.84,900.0,2.7,910.0,,,,,,,,,,,,0.001098901098901099,0.9901290055993773,1.0062001529734323
78,1.122569356,10586419,17.422,3.33,620.0,0.88,640.0,0.1,650.0,700.0,0.92,710.0,2.22,740.0,3.33,640.0,12.12,650.0,2.2600000000000002,0.0014285714285714286,0.0015384615384615385,0.9901290055993773,1.0062001529734323
79,1.122569356,10562718,17.422,0.6,920.0,2.0,990.0,30.86,1000.0,,,,,,,,,,,,0.001,0.9901290055993773,1.0062001529734323
80,1.122569356,10586424,16.416,2632.28,1.67,1715.61,1.68,1329.58,1.69,1.7,538.56,1.71,1251.4,1.72,729.04,1.69,109.63000000000011,1.7,1470.9599999999991,0.5882352941176471,0.591715976331361,0.9901290055993773,1.0060770002640727
81,1.122569356,9342040,16.416,1469.6,3.5,952.28,3.55,371.78,3.6,3.65,477.93,3.7,1166.21,3.75,472.61,3.6,45.539999999997235,3.6,45.539999999997235,0.273972602739726,0.2777777777777778,0.9901290055993773,1.0060770002640727
82,1.122569356,10500771,16.416,403.24,11.0,230.59,11.5,135.06,12.0,12.5,167.4,13.0,124.11,13.5,58.62,12.0,67.26000000000022,12.5,24.0,0.08,0.08333333333333333,0.9901290055993773,1.0060770002640727
